file,frame,object_id,x,y,width,height
PETS2009-S1L1-1-cropped.xml,0,1,630.1302,310.6886,51.9479,105.1412
PETS2009-S1L1-1-cropped.xml,0,2,687.2705,322.8721,53.5932,108.4689
PETS2009-S1L1-1-cropped.xml,0,4,705.028,281.3549,42.468,108.2209
PETS2009-S1L1-1-cropped.xml,0,5,691.7807,313.8245,40.9666,98.8127
PETS2009-S1L1-1-cropped.xml,1,1,624.3648,308.9887,51.726,104.6865
PETS2009-S1L1-1-cropped.xml,1,2,680.9399,320.9315,53.3448,107.9643
PETS2009-S1L1-1-cropped.xml,1,4,699.0446,280.0483,42.4441,107.8303
PETS2009-S1L1-1-cropped.xml,1,5,685.7077,311.7987,40.7569,98.3946
PETS2009-S1L1-1-cropped.xml,2,1,617.4747,306.8844,51.4516,104.1247
PETS2009-S1L1-1-cropped.xml,2,2,673.3446,318.5695,53.0425,107.3495
PETS2009-S1L1-1-cropped.xml,2,4,691.7427,278.4541,42.415,107.3533
PETS2009-S1L1-1-cropped.xml,2,5,678.2971,309.3274,40.501,97.885
PETS2009-S1L1-1-cropped.xml,3,1,610.0774,304.5748,51.1505,103.5079
PETS2009-S1L1-1-cropped.xml,3,2,665.1617,315.999,52.7132,106.6788
PETS2009-S1L1-1-cropped.xml,3,4,683.7297,276.7046,42.383,106.8296
PETS2009-S1L1-1-cropped.xml,3,5,670.1654,306.6158,40.2202,97.3262
PETS2009-S1L1-1-cropped.xml,4,1,602.5455,302.2337,50.8443,102.8804
PETS2009-S1L1-1-cropped.xml,4,2,656.8357,313.3757,52.3763,105.9917
PETS2009-S1L1-1-cropped.xml,4,4,675.435,274.8937,42.35,106.2874
PETS2009-S1L1-1-cropped.xml,4,5,661.7513,303.8155,39.9292,96.7481
PETS2009-S1L1-1-cropped.xml,5,1,594.9741,299.9537,50.5444,102.2646
PETS2009-S1L1-1-cropped.xml,5,2,648.5346,310.7666,52.0398,105.3054
PETS2009-S1L1-1-cropped.xml,5,4,667.0584,273.065,42.3167,105.74
PETS2009-S1L1-1-cropped.xml,5,5,653.2655,301.0096,39.635,96.1642
PETS2009-S1L1-1-cropped.xml,5,7,711.7712,324.2256,38.1774,88.8629
PETS2009-S1L1-1-cropped.xml,6,1,587.3409,297.7454,50.2515,101.6633
PETS2009-S1L1-1-cropped.xml,6,2,640.2906,308.1844,51.7054,104.6232
PETS2009-S1L1-1-cropped.xml,6,4,658.6821,271.2363,42.2833,105.1926
PETS2009-S1L1-1-cropped.xml,6,5,644.8083,298.2597,39.3408,95.58
PETS2009-S1L1-1-cropped.xml,6,7,703.4847,321.4825,38.19,89.305
PETS2009-S1L1-1-cropped.xml,6,8,729.8074,293.1312,33.5486,101.0532
PETS2009-S1L1-1-cropped.xml,7,1,579.5951,295.5588,49.9594,101.064
PETS2009-S1L1-1-cropped.xml,7,2,632.0581,305.6141,51.3712,103.9414
PETS2009-S1L1-1-cropped.xml,7,4,650.3063,269.4075,42.25,104.645
PETS2009-S1L1-1-cropped.xml,7,5,636.404,295.6134,39.047,94.9958
PETS2009-S1L1-1-cropped.xml,7,7,695.1979,318.7394,38.2026,89.7471
PETS2009-S1L1-1-cropped.xml,7,8,722.0077,290.7895,33.4742,100.5114
PETS2009-S1L1-1-cropped.xml,8,1,571.7686,293.3441,49.6625,100.455
PETS2009-S1L1-1-cropped.xml,8,2,623.8234,303.0499,51.037,103.2587
PETS2009-S1L1-1-cropped.xml,8,4,641.9312,267.5787,42.2167,104.0974
PETS2009-S1L1-1-cropped.xml,8,5,628.0713,293.108,38.7534,94.4119
PETS2009-S1L1-1-cropped.xml,8,6,689.0678,329.6335,53.2346,109.3809
PETS2009-S1L1-1-cropped.xml,8,7,686.9109,315.9964,38.215,90.1888
PETS2009-S1L1-1-cropped.xml,8,8,713.9339,288.3654,33.3971,99.9508
PETS2009-S1L1-1-cropped.xml,9,1,563.9655,291.0874,49.3596,99.8338
PETS2009-S1L1-1-cropped.xml,9,2,615.6086,300.4919,50.7026,102.5752
PETS2009-S1L1-1-cropped.xml,9,4,633.5567,265.75,42.1833,103.55
PETS2009-S1L1-1-cropped.xml,9,5,619.8101,290.7434,38.46,93.8281
PETS2009-S1L1-1-cropped.xml,9,6,680.3773,326.8172,53.5726,109.0793
PETS2009-S1L1-1-cropped.xml,9,7,678.624,313.2534,38.2274,90.63
PETS2009-S1L1-1-cropped.xml,9,8,705.7804,285.9176,33.3188,99.385
PETS2009-S1L1-1-cropped.xml,10,1,556.3342,288.822,49.0555,99.21
PETS2009-S1L1-1-cropped.xml,10,2,607.4575,297.9431,50.3684,101.8918
PETS2009-S1L1-1-cropped.xml,10,4,625.1821,263.9213,42.15,103.0026
PETS2009-S1L1-1-cropped.xml,10,5,611.6013,288.4822,38.1667,93.2442
